Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
-0.0101210698485374	-2.52541894951719E-06	1800.0209	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.021	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0211	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0212	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0213	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0214	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0215	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0216	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0217	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0218	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0219	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.022	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0221	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0222	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0223	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0224	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0225	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0226	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0227	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0228	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0229	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.023	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0231	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0232	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0233	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0234	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0235	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0236	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0237	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0238	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0239	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.024	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0241	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0242	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0243	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0244	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0245	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0246	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0247	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0248	0	0	
-0.00981436483561993	-2.52603308581456E-06	1800.0249	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.025	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0251	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0252	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0253	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0254	0	0	
